/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[INFO] [1766433121.392577899] [hsv_auto_tuner]: ================================================================================
[INFO] [1766433121.393299191] [hsv_auto_tuner]: HSV AUTO-TUNER STARTED
[INFO] [1766433121.393775625] [hsv_auto_tuner]: Waiting for messages...
[INFO] [1766433121.395788056] [hsv_auto_tuner]: ================================================================================
[INFO] [1766433123.334049461] [hsv_auto_tuner]: DIAGNOSTICS | Images: 18 | State msgs: 34 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433125.332708564] [hsv_auto_tuner]: DIAGNOSTICS | Images: 37 | State msgs: 74 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433127.333086582] [hsv_auto_tuner]: DIAGNOSTICS | Images: 55 | State msgs: 110 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433129.332759473] [hsv_auto_tuner]: DIAGNOSTICS | Images: 74 | State msgs: 148 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433131.347929978] [hsv_auto_tuner]: DIAGNOSTICS | Images: 94 | State msgs: 188 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433133.331916363] [hsv_auto_tuner]: DIAGNOSTICS | Images: 114 | State msgs: 228 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433135.334633071] [hsv_auto_tuner]: DIAGNOSTICS | Images: 138 | State msgs: 276 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433137.333574131] [hsv_auto_tuner]: DIAGNOSTICS | Images: 164 | State msgs: 328 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433139.339139789] [hsv_auto_tuner]: DIAGNOSTICS | Images: 191 | State msgs: 380 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433141.333031135] [hsv_auto_tuner]: DIAGNOSTICS | Images: 214 | State msgs: 428 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433143.332137611] [hsv_auto_tuner]: DIAGNOSTICS | Images: 240 | State msgs: 480 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433145.333677756] [hsv_auto_tuner]: DIAGNOSTICS | Images: 265 | State msgs: 530 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433147.335352438] [hsv_auto_tuner]: DIAGNOSTICS | Images: 291 | State msgs: 581 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433149.332146469] [hsv_auto_tuner]: DIAGNOSTICS | Images: 314 | State msgs: 628 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433151.337378790] [hsv_auto_tuner]: DIAGNOSTICS | Images: 334 | State msgs: 668 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433153.331494941] [hsv_auto_tuner]: DIAGNOSTICS | Images: 359 | State msgs: 718 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433155.333634378] [hsv_auto_tuner]: DIAGNOSTICS | Images: 384 | State msgs: 768 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433157.332827669] [hsv_auto_tuner]: DIAGNOSTICS | Images: 409 | State msgs: 817 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433159.332091707] [hsv_auto_tuner]: DIAGNOSTICS | Images: 432 | State msgs: 864 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
[INFO] [1766433161.331981137] [hsv_auto_tuner]: DIAGNOSTICS | Images: 455 | State msgs: 897 | Current state: UNKNOWN | RED: 0/50 | YELLOW: 0/50 | GREEN: 0/50
